from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246105124610586+1839730+0,246105124610586+1839501+0,1,
33,33,,,246110024611776+1839730+0,246110024611776+1839501+0,1,
33,33,,,246099624611717+1839735+0,246099624611717+1839506+0,1,
33,33,,,246100424610051+1839744+0,246100424610051+1839041+0,1,
33,33,,,246104624610564+1839744+0,246104624610564+1839041+0,1,
33,33,,,246106124610632+1839744+0,246106124610632+1839041+0,1,
33,33,,,246101524611765+1839745+0,246101524611765+1839042+0,1,
33,33,,,246100624610063+1839746+0,246100624610063+1839043+0,1,
33,33,,,246104624610561+1839750+0,246104624610561+1839048+0,1,
33,33,,,246104624610563+1839750+0,246104624610563+1839048+0,1,
33,33,,,246109524611751+1839750+0,246109524611751+1839048+0,1,
33,33,,,246100624610063+1839752+0,246100624610063+1839050+0,1,
33,33,,,246106724610844+1839753+0,246106724610844+1839055+0,1,
33,33,,,246109524611751+1839753+0,246109524611751+1839055+0,1,
33,33,,,246109524611754+1839753+0,246109524611754+1839055+0,1,
33,33,,,246100424610052+1839086+1,246100424610052+1838846+1,1,
33,33,,,246108924610914+1839086+1,246108924610914+1838846+1,1,
33,33,,,246109524611753+1839086+1,246109524611753+1838846+1,1,
33,33,,,246103224610413+1839088+1,246103224610413+1838848+1,1,
33,33,,,246098324610004+1839097+1,246098324610004+1838852+1,1,
33,33,,,246101124610284+1839097+1,246101124610284+1838852+1,1,
33,33,,,246104624610563+1839097+1,246104624610563+1838852+1,1,
33,33,,,246106124610634+1839097+1,246106124610634+1838852+1,1,
33,33,,,246109524611752+1839097+1,246109524611752+1838852+1,1,
33,33,,,246098324610004+1839097+1,246098324610004+1838858+1,1,
33,33,,,246101124610283+1839097+1,246101124610283+1838858+1,1,
33,33,,,246098724610015+1839098+1,246098724610015+1838859+1,1,
33,33,,,246101524610295+1839098+1,246101524611765+1838853+1,1,
33,33,,,246103224610413+1839099+1,246103224610413+1838860+1,1,
33,33,,,246103224610411+1839099+1,246103224610341+1838854+1,1,
33,33,,,246103624610435+1839100+1,246101524611765+1838853+1,1,
33,33,,,246100424610052+1839105+1,246100424610052+1838865+1,1,
33,33,,,246109524611751+1839105+1,246109524611751+1838865+1,1,
33,33,,,246109524611753+1839105+1,246109524611753+1838865+1,1,
33,33,,,246101524610295+1839106+1,246101524611765+1838866+1,1,
33,33,,,246104624610563+1839109+1,246104624610563+1838886+1,1,
33,33,,,246101524611765+1839110+1,246101524611765+1838887+1,1,
33,33,,,246098324610002+1839129+1,246098324610002+1838898+1,1,
33,33,,,246106124610634+1839129+1,246106124610634+1838898+1,1,
33,33,,,246106724610844+1839129+1,246106724610844+1838898+1,1,
33,33,,,246108924610913+1839129+1,246108924610913+1838898+1,1,
33,33,,,246109524611751+1839129+1,246109524611751+1838898+1,1,
33,33,,,246109524611752+1839129+1,246109524611752+1838898+1,1,
33,33,,,246101524611765+1839130+1,246101524611765+1838899+1,1,
33,33,,,246098324610002+1839138+1,246098324610002+1838904+1,1,
33,33,,,246106124610632+1839138+1,246106124610632+1838904+1,1,
33,33,,,246106724610842+1839138+1,246106724610842+1838904+1,1,
33,33,,,246106724610843+1839138+1,246106724610843+1838904+1,1,
33,33,,,246109524611753+1839138+1,246109524611753+1838904+1,1,
33,33,,,246103224610411+1839140+1,246103224610341+1838906+1,1,
33,33,,,246098324610004+1839141+1,246098324610004+1838904+1,1,
33,33,,,246101124610282+1839141+1,246101124610282+1838904+1,1,
33,33,,,246106724610842+1839141+1,246106724610842+1838904+1,1,
33,33,,,246109524611753+1839141+1,246109524611753+1838904+1,1,
33,33,,,246098324610002+1839145+1,246098324610002+1838907+1,1,
