from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246109524611751+1826476+0,246109524611751+1826243+0,1,
33,33,,,246103224610411+1826477+0,246103224610411+1826244+0,1,
33,33,,,246103224610412+1826477+0,246103224610412+1826244+0,1,
33,33,,,246101124610282+1826479+0,246101124610282+1826251+0,1,
33,33,,,246106124610634+1826479+0,246106124610634+1826251+0,1,
33,33,,,246106724610841+1826479+0,246106724610841+1826251+0,1,
33,33,,,246097324610015+1826486+0,246097324610015+1826259+0,1,
33,33,,,246097624610001+1826487+0,246097624610001+1826260+0,1,
33,33,,,246100424610052+1826487+0,246100424610052+1826260+0,1,
33,33,,,246101124610282+1826487+0,246101124610282+1826260+0,1,
33,33,,,246101124610283+1826487+0,246101124610283+1826260+0,1,
33,33,,,246108924610914+1826487+0,246108924610914+1826260+0,1,
33,33,,,246101124610284+1826493+0,246101124610284+1826273+0,1,
33,33,,,246108924610912+1826493+0,246108924610912+1826273+0,1,
33,33,,,246108924610914+1826493+0,246108924610914+1826273+0,1,
33,33,,,246103224610412+1826494+0,246103224610412+1826274+0,1,
33,33,,,246097524609757+1828046+0,246097524609897+1826559+0,1,
33,33,,,246106024610651+1828048+0,246106024610651+1826560+0,1,
33,33,,,246106024610656+1828048+0,246106024610656+1826560+0,1,
33,33,,,246099624611717+1828049+0,246099624611717+1826561+0,1,
33,33,,,246106724610841+1826645+0,246106724610841+1826283+0,1,
33,33,,,246108924610913+1826645+0,246108924610913+1826283+0,1,
33,33,,,246101124610281+1826738+0,246101124610281+1826289+0,1,
33,33,,,246104624610561+1826738+0,246104624610561+1826289+0,1,
33,33,,,246106724610843+1826738+0,246106724610843+1826289+0,1,
33,33,,,246097624610002+1826792+0,246097624610002+1826295+0,1,
33,33,,,246101124610281+1826792+0,246101124610281+1826295+0,1,
33,33,,,246101124610283+1826792+0,246101124610283+1826295+0,1,
33,33,,,246104624610563+1826792+0,246104624610563+1826295+0,1,
33,33,,,246106724610842+1826792+0,246106724610842+1826295+0,1,
33,33,,,246108924610912+1826792+0,246108924610912+1826295+0,1,
33,33,,,246108924610914+1826792+0,246108924610914+1826295+0,1,
33,33,,,246109524611754+1826792+0,246109524611754+1826295+0,1,
33,33,,,246103224610412+1826793+0,246103224610412+1826296+0,1,
33,33,,,246103224610413+1826793+0,246103224610413+1826296+0,1,
33,33,,,246101124610281+1826807+0,246101124610281+1826298+0,1,
33,33,,,246104624610561+1826807+0,246104624610561+1826298+0,1,
33,33,,,246104624610562+1826807+0,246104624610562+1826298+0,1,
33,33,,,246108924610912+1826807+0,246108924610912+1826298+0,1,
33,33,,,246108924610914+1826807+0,246108924610914+1826298+0,1,
33,33,,,246100724610096+1826816+0,246100724610096+1826504+0,1,
33,33,,,246097424609886+1826826+0,246097424609886+1826519+0,1,
33,33,,,246097524609897+1826827+0,246097524609897+1826520+0,1,
33,33,,,246104624610563+1826855+0,246104624610563+1826304+0,1,
33,33,,,246108924610912+1826855+0,246108924610912+1826304+0,1,
33,33,,,246108924610914+1826855+0,246108924610914+1826304+0,1,
33,33,,,246100624610063+1826856+0,246100624610063+1826305+0,1,
33,33,,,246097424609886+1826868+0,246098124609886+1828009+0,1,
33,33,,,246105124610586+1826870+0,246105124610586+1828010+0,1,
33,33,,,246107224610866+1826870+0,246107224610866+1828010+0,1,
33,33,,,246110024611776+1826870+0,246110024611776+1828010+0,1,
33,33,,,246100724610096+1826885+0,246100724610096+1826592+0,1,
33,33,,,246103524610446+1826885+0,246103524610446+1826592+0,1,
33,33,,,246110024611776+1826885+0,246110024611776+1826592+0,1,
33,33,,,246099624611717+1826900+0,246099624611717+1826611+0,1,
33,33,,,246106024610651+1826909+0,246106024610651+1826628+0,1,
33,33,,,246106024610656+1826909+0,246106024610656+1826628+0,1,
33,33,,,246098124609816+1826917+0,246097424609886+1826647+0,1,
33,33,,,246097424609886+1826926+0,246097424609886+1826664+0,1,
33,33,,,246100724610095+1826928+0,246100724610095+1826666+0,1,
33,33,,,246098124609816+1826946+0,246098124609886+1828030+0,1,
33,33,,,246107224610866+1826947+0,246107224610866+1828031+0,1,
33,33,,,246097524609897+1826960+0,246097524609897+1826701+0,1,
33,33,,,246099524610026+1826962+0,246099524610026+1826702+0,1,
33,33,,,246100724610095+1826962+0,246100724610095+1826702+0,1,
33,33,,,246100724610095+1826972+0,246100724610095+1826721+0,1,
33,33,,,246108824610931+1826972+0,246108824610931+1826721+0,1,
33,33,,,246104624610561+1826979+0,246104624610561+1826314+0,1,
33,33,,,246106124610633+1826979+0,246106124610633+1826314+0,1,
33,33,,,246100624610063+1826980+0,246100624610063+1826315+0,1,
33,33,,,246103224610412+1826980+0,246103224610342+1826315+0,1,
33,33,,,246097424609886+1826990+0,246097424609886+1826756+0,1,
33,33,,,246099524610026+1826992+0,246099524610026+1826758+0,1,
33,33,,,246103524610444+1826992+0,246103524610444+1826758+0,1,
33,33,,,246108824610936+1826992+0,246108824610936+1826758+0,1,
33,33,,,246099624611717+1826993+0,246099624611717+1826759+0,1,
33,33,,,246103524610446+1827000+0,246103524610446+1826770+0,1,
33,33,,,246097424609886+1827009+0,246097424609886+1826783+0,1,
33,33,,,246110024611776+1827011+0,246110024611776+1826785+0,1,
33,33,,,246106024610656+1827015+0,246106024610656+1826789+0,1,
33,33,,,246101524611765+1827025+0,246101524611765+1826323+0,1,
33,33,,,246106124610633+1827026+0,246106124610633+1826324+0,1,
33,33,,,246101524611765+1827031+0,246101524611765+1826330+0,1,
33,33,,,246100424610051+1827032+0,246100424610051+1826331+0,1,
33,33,,,246108924610914+1827032+0,246108924610914+1826331+0,1,
33,33,,,246100624610063+1827033+0,246100624610063+1826332+0,1,
33,33,,,246097324610015+1827034+0,246097324610015+1826337+0,1,
33,33,,,246106124610634+1827035+0,246106124610634+1826338+0,1,
33,33,,,246106724610843+1827035+0,246106724610843+1826338+0,1,
33,33,,,246097324610015+1827040+0,246097324610015+1826343+0,1,
33,33,,,246101124610283+1827041+0,246101124610283+1826344+0,1,
33,33,,,246104624610561+1827041+0,246104624610561+1826344+0,1,
33,33,,,246104624610562+1827041+0,246104624610562+1826344+0,1,
33,33,,,246106724610844+1827041+0,246106724610844+1826344+0,1,
33,33,,,246097624610001+1826358+0,246097624610001+1826110+1,1,
33,33,,,246104624610562+1826358+0,246104624610562+1826110+1,1,
33,33,,,246106124610633+1826358+0,246106124610633+1826110+1,1,
33,33,,,246097324610015+1826368+1,246097324610015+1826128+1,1,
33,33,,,246097624610002+1826369+1,246097624610002+1826129+1,1,
33,33,,,246100424610051+1826369+1,246100424610051+1826129+1,1,
33,33,,,246106724610842+1826369+1,246106724610842+1826129+1,1,
33,33,,,246101524610295+1826379+1,246101524611765+1826140+1,1,
33,33,,,246097624610002+1826380+1,246097624610002+1826135+1,1,
33,33,,,246100424610052+1826380+1,246100424610052+1826135+1,1,
33,33,,,246101124610281+1826380+1,246101124610281+1826135+1,1,
33,33,,,246101124610283+1826380+1,246101124610283+1826135+1,1,
33,33,,,246106124610633+1826380+1,246106124610633+1826135+1,1,
33,33,,,246108924610912+1826380+1,246108924610912+1826135+1,1,
33,33,,,246097624610003+1826380+1,246097624610003+1826141+1,1,
33,33,,,246100424610052+1826380+1,246100424610052+1826141+1,1,
33,33,,,246106124610633+1826380+1,246106124610633+1826141+1,1,
33,33,,,246106724610842+1826380+1,246106724610842+1826141+1,1,
33,33,,,246106724610844+1826380+1,246106724610844+1826141+1,1,
33,33,,,246103224610411+1826381+1,246103224610341+1826136+1,1,
33,33,,,246103224610411+1826381+1,246103924610401+1826136+1,1,
33,33,,,246103624610435+1826382+1,246101524611765+1826140+1,1,
33,33,,,246097324610015+1826387+1,246097324610015+1826147+1,1,
33,33,,,246097624610002+1826388+1,246097624610002+1826148+1,1,
33,33,,,246104624610561+1826388+1,246104624610561+1826148+1,1,
33,33,,,246106724610844+1826388+1,246106724610844+1826148+1,1,
33,33,,,246103224610413+1826389+1,246103224610343+1826149+1,1,
33,33,,,246097624610001+1826392+1,246097624610001+1826169+1,1,
33,33,,,246101124610284+1826392+1,246101124610284+1826169+1,1,
33,33,,,246106724610842+1826392+1,246106724610842+1826169+1,1,
33,33,,,246108924610912+1826392+1,246108924610912+1826169+1,1,
33,33,,,246103224610411+1826413+1,246103224610411+1826182+1,1,
33,33,,,246106124610634+1826421+1,246106124610634+1826187+1,1,
33,33,,,246108924610912+1826421+1,246108924610912+1826187+1,1,
33,33,,,246104624610562+1826423+1,246104624610562+1826187+1,1,
33,33,,,246109524611752+1826423+1,246109524611752+1826187+1,1,
33,33,,,246109524611753+1826423+1,246109524611753+1826187+1,1,
33,33,,,246097324610015+1826427+1,246097324610015+1826189+1,1,
33,33,,,246100424610052+1826428+1,246100424610052+1826190+1,1,
33,33,,,246104624610562+1826428+1,246104624610562+1826190+1,1,
33,33,,,246106724610842+1826428+1,246106724610842+1826190+1,1,
33,33,,,246106724610844+1826428+1,246106724610844+1826190+1,1,
33,33,,,246103224610412+1826429+1,246103224610342+1826191+1,1,
33,33,,,246103224610413+1826429+1,246103224610343+1826191+1,1,
33,33,,,246103224610411+1826429+1,246103924610401+1826191+1,1,
33,33,,,246103224610412+1826429+1,246103924610402+1826191+1,1,
33,33,,,246100424610051+1826434+1,246100424610051+1826202+1,1,
33,33,,,246106124610632+1826434+1,246106124610632+1826202+1,1,
33,33,,,246109524611754+1826434+1,246109524611754+1826202+1,1,
33,33,,,246101524611765+1826439+1,246103624610435+1826210+1,1,
33,33,,,246100424610052+1826440+1,246100424610052+1826208+1,1,
33,33,,,246101124610282+1826440+1,246101124610282+1826208+1,1,
33,33,,,246106124610633+1826440+1,246106124610633+1826208+1,1,
33,33,,,246106724610843+1826440+1,246106724610843+1826208+1,1,
33,33,,,246108924610912+1826440+1,246108924610912+1826208+1,1,
33,33,,,246108924610914+1826440+1,246108924610914+1826208+1,1,
33,33,,,246097624610004+1826446+0,246097624610004+1824357+0,1,
33,33,,,246100424610052+1826446+0,246100424610052+1824357+0,1,
33,33,,,246101124610284+1826446+0,246101124610284+1824357+0,1,
33,33,,,246106724610841+1826449+0,246106724610841+1826219+0,1,
33,33,,,246106724610843+1826449+0,246106724610843+1826219+0,1,
33,33,,,246103224610413+1826450+0,246103224610343+1826220+0,1,
33,33,,,246101124610284+1826458+0,246101124610284+1826228+0,1,
33,33,,,246106724610844+1826458+0,246106724610844+1826228+0,1,
33,33,,,246108924610912+1826458+0,246108924610912+1826228+0,1,
33,33,,,246109524611754+1826458+0,246109524611754+1826228+0,1,
33,33,,,246101524611765+1826466+0,246101524611765+1826233+0,1,
33,33,,,246100424610052+1826467+0,246100424610052+1826234+0,1,
33,33,,,246108924610914+1826467+0,246108924610914+1826234+0,1,
33,33,,,246097624610004+1826476+0,246097624610004+1826243+0,1,
33,33,,,246101124610283+1826476+0,246101124610283+1826243+0,1,
33,33,,,246104624610563+1826476+0,246104624610563+1826243+0,1,
33,33,,,246104624610564+1826476+0,246104624610564+1826243+0,1,
